id,timestamp,likes,retweets
1449228207467663361,2021-10-16T04:18:24.000Z,1242,335
1449044500379226112,2021-10-15T16:08:25.000Z,1083,266
1448863303703441408,2021-10-15T04:08:24.000Z,1080,268
1448682109347012616,2021-10-14T16:08:24.000Z,1104,289
1448498399586701312,2021-10-14T03:58:24.000Z,1221,326
1448317204785766404,2021-10-13T15:58:24.000Z,1145,298
1448136009674215427,2021-10-13T03:58:24.000Z,1178,311
1447952301960871937,2021-10-12T15:48:25.000Z,1125,292
1447768589549850625,2021-10-12T03:38:24.000Z,1226,317
1447587393452888069,2021-10-11T15:38:24.000Z,1169,299
1447403685647106050,2021-10-11T03:28:24.000Z,1322,339
1447222491525656578,2021-10-10T15:28:24.000Z,1146,279
1447041296519028736,2021-10-10T03:28:24.000Z,1471,353
1446857586821767171,2021-10-09T15:18:24.000Z,1196,293
1446673876629561345,2021-10-09T03:08:24.000Z,1259,314
1446490165170610176,2021-10-08T14:58:24.000Z,1101,259
1446306456509329601,2021-10-08T02:48:24.000Z,1095,277
1446125262689603585,2021-10-07T14:48:24.000Z,960,232
1445944067943247874,2021-10-07T02:48:24.000Z,1187,313
1445760361672560648,2021-10-06T14:38:25.000Z,1114,277
1445576650989531136,2021-10-06T02:28:25.000Z,1161,282
1445392937165234182,2021-10-05T14:18:24.000Z,1102,300
1445209226780057604,2021-10-05T02:08:25.000Z,1196,294
1445025727162855425,2021-10-04T13:59:15.000Z,1170,325
1444844320620699650,2021-10-04T01:58:24.000Z,1305,325
1444660611074383878,2021-10-03T13:48:24.000Z,1210,307
1444479416567046156,2021-10-03T01:48:24.000Z,1262,295
1444295707205251078,2021-10-02T13:38:24.000Z,1193,276
1444111997281386499,2021-10-02T01:28:25.000Z,1249,297
1443928285428211716,2021-10-01T13:18:24.000Z,1056,265
1443744576741814275,2021-10-01T01:08:25.000Z,1161,271
1443560865266118656,2021-09-30T12:58:25.000Z,1147,305
1443379669605175299,2021-09-30T00:58:24.000Z,1169,303
1443195959652069381,2021-09-29T12:48:24.000Z,1019,224
1443014765727690756,2021-09-29T00:48:24.000Z,1527,356
1442833570435846144,2021-09-28T12:48:24.000Z,882,222
1442649870100320259,2021-09-28T00:38:26.000Z,1174,321
1442466151028637696,2021-09-27T12:28:24.000Z,1092,271
1442284956361838592,2021-09-27T00:28:24.000Z,1187,289
1442103762013855744,2021-09-26T12:28:24.000Z,1166,304
1441922567556587522,2021-09-26T00:28:24.000Z,1323,331
1441738871725862912,2021-09-25T12:18:27.000Z,1075,276
1441557667562934272,2021-09-25T00:18:25.000Z,1252,317
1441373953373601797,2021-09-24T12:08:24.000Z,1066,262
1441190243596570630,2021-09-23T23:58:24.000Z,1093,269
1441006534700437510,2021-09-23T11:48:25.000Z,1062,253
1440822823711240204,2021-09-22T23:38:25.000Z,1217,311
1440641629207949326,2021-09-22T11:38:24.000Z,840,198
1440457919938531339,2021-09-21T23:28:25.000Z,1219,266
1440276724973912074,2021-09-21T11:28:24.000Z,931,198
1440093014664306688,2021-09-20T23:18:24.000Z,1106,262
1439876588603154436,2021-09-20T08:58:24.000Z,1168,283
1439695392703193093,2021-09-19T20:58:24.000Z,1394,345
1439511683966324737,2021-09-19T08:48:24.000Z,1259,316
1439330489391894529,2021-09-18T20:48:24.000Z,1614,369
1439146779937759233,2021-09-18T08:38:25.000Z,1258,332
1438963068663476236,2021-09-17T20:28:24.000Z,1276,308
1438779359100350466,2021-09-17T08:18:25.000Z,1045,229
1438598163896672262,2021-09-16T20:18:24.000Z,1079,260
1438416969213087744,2021-09-16T08:18:24.000Z,1133,258
1438233260186865674,2021-09-15T20:08:24.000Z,1356,352
1438052065926950913,2021-09-15T08:08:24.000Z,1151,291
1437870871994056705,2021-09-14T20:08:24.000Z,1310,317
1437687187273920513,2021-09-14T07:58:31.000Z,1208,292
